user_file,reference_file,evaluation_metric,category,value
yura_1.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,0.1477171501446279
yura_1.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_1.wav,tts_1.wav,pitch_difference,정확성,130.154541015625
yura_1.wav,tts_1.wav,rms_difference,정확성,0.018919818103313446
yura_1.wav,tts_1.wav,speech_rate_difference,유창성,0.08383864153287846
yura_1.wav,tts_1.wav,pause_difference,유창성,0.0
yura_1.wav,tts_1.wav,word_omission,완전성,0.0
yura_2.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,-0.0070802099617896285
yura_2.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_2.wav,tts_1.wav,pitch_difference,정확성,122.2728271484375
yura_2.wav,tts_1.wav,rms_difference,정확성,0.0018012486398220062
yura_2.wav,tts_1.wav,speech_rate_difference,유창성,0.5468559699319897
yura_2.wav,tts_1.wav,pause_difference,유창성,0.0
yura_2.wav,tts_1.wav,word_omission,완전성,0.0
yura_3.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,0.009958475000528589
yura_3.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_3.wav,tts_1.wav,pitch_difference,정확성,246.2091064453125
yura_3.wav,tts_1.wav,rms_difference,정확성,0.007391311228275299
yura_3.wav,tts_1.wav,speech_rate_difference,유창성,0.431093486224988
yura_3.wav,tts_1.wav,pause_difference,유창성,0.0
yura_3.wav,tts_1.wav,word_omission,완전성,0.0
yura_4.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,0.028128546716636692
yura_4.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_4.wav,tts_1.wav,pitch_difference,정확성,27.2496337890625
yura_4.wav,tts_1.wav,rms_difference,정확성,0.006367640569806099
yura_4.wav,tts_1.wav,speech_rate_difference,유창성,0.2969641449282818
yura_4.wav,tts_1.wav,pause_difference,유창성,0.0
yura_4.wav,tts_1.wav,word_omission,완전성,0.0
yura_5.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,-0.18148981089078153
yura_5.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_5.wav,tts_1.wav,pitch_difference,정확성,171.9415283203125
yura_5.wav,tts_1.wav,rms_difference,정확성,0.008800191804766655
yura_5.wav,tts_1.wav,speech_rate_difference,유창성,0.41120078272191307
yura_5.wav,tts_1.wav,pause_difference,유창성,0.0
yura_5.wav,tts_1.wav,word_omission,완전성,0.0
yura_6.wav,tts_1.wav,pitch_contour_similarity,음율적 오류,0.07022779949223923
yura_6.wav,tts_1.wav,rhythm_similarity,음율적 오류,0.0
yura_6.wav,tts_1.wav,pitch_difference,정확성,52.164306640625
yura_6.wav,tts_1.wav,rms_difference,정확성,0.009853897616267204
yura_6.wav,tts_1.wav,speech_rate_difference,유창성,0.23137503172833362
yura_6.wav,tts_1.wav,pause_difference,유창성,0.0
yura_6.wav,tts_1.wav,word_omission,완전성,0.0
yura_1.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,-0.008772735844618343
yura_1.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_1.wav,tts_2.wav,pitch_difference,정확성,463.70037841796875
yura_1.wav,tts_2.wav,rms_difference,정확성,0.021763063967227936
yura_1.wav,tts_2.wav,speech_rate_difference,유창성,1.0774934613939848
yura_1.wav,tts_2.wav,pause_difference,유창성,0.0
yura_1.wav,tts_2.wav,word_omission,완전성,0.0
yura_2.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,-0.150201321081438
yura_2.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_2.wav,tts_2.wav,pitch_difference,정확성,471.58209228515625
yura_2.wav,tts_2.wav,rms_difference,정확성,0.004644494503736496
yura_2.wav,tts_2.wav,speech_rate_difference,유창성,1.708188072858853
yura_2.wav,tts_2.wav,pause_difference,유창성,0.0
yura_2.wav,tts_2.wav,word_omission,완전성,0.0
yura_3.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,-0.17616812140451465
yura_3.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_3.wav,tts_2.wav,pitch_difference,정확성,347.64581298828125
yura_3.wav,tts_2.wav,rms_difference,정확성,0.004548065364360809
yura_3.wav,tts_2.wav,speech_rate_difference,유창성,1.5924255891518513
yura_3.wav,tts_2.wav,pause_difference,유창성,0.0
yura_3.wav,tts_2.wav,word_omission,완전성,0.0
yura_4.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,-0.22291083222405164
yura_4.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_4.wav,tts_2.wav,pitch_difference,정확성,566.6052856445312
yura_4.wav,tts_2.wav,rms_difference,정확성,0.003524394705891609
yura_4.wav,tts_2.wav,speech_rate_difference,유창성,1.4582962478551451
yura_4.wav,tts_2.wav,pause_difference,유창성,0.0
yura_4.wav,tts_2.wav,word_omission,완전성,0.0
yura_5.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,-0.08306292225700937
yura_5.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_5.wav,tts_2.wav,pitch_difference,정확성,421.91339111328125
yura_5.wav,tts_2.wav,rms_difference,정확성,0.005956945940852165
yura_5.wav,tts_2.wav,speech_rate_difference,유창성,1.5725328856487764
yura_5.wav,tts_2.wav,pause_difference,유창성,0.0
yura_5.wav,tts_2.wav,word_omission,완전성,0.0
yura_6.wav,tts_2.wav,pitch_contour_similarity,음율적 오류,0.16542821838385147
yura_6.wav,tts_2.wav,rhythm_similarity,음율적 오류,0.0
yura_6.wav,tts_2.wav,pitch_difference,정확성,541.6906127929688
yura_6.wav,tts_2.wav,rms_difference,정확성,0.0070106517523527145
yura_6.wav,tts_2.wav,speech_rate_difference,유창성,1.392707134655197
yura_6.wav,tts_2.wav,pause_difference,유창성,0.0
yura_6.wav,tts_2.wav,word_omission,완전성,0.0
yura_1.wav,tts_3.wav,pitch_contour_similarity,음율적 오류,-0.00018295488123461237
yura_1.wav,tts_3.wav,rhythm_similarity,음율적 오류,0.0
yura_1.wav,tts_3.wav,pitch_difference,정확성,317.1297607421875
yura_1.wav,tts_3.wav,rms_difference,정확성,0.022026516497135162
yura_1.wav,tts_3.wav,speech_rate_difference,유창성,4.202774365320344
yura_1.wav,tts_3.wav,pause_difference,유창성,0.0
yura_1.wav,tts_3.wav,word_omission,완전성,0.0
yura_2.wav,tts_3.wav,pitch_contour_similarity,음율적 오류,0.10586748847665957
yura_2.wav,tts_3.wav,rhythm_similarity,음율적 오류,0.0
yura_2.wav,tts_3.wav,pitch_difference,정확성,325.011474609375
yura_2.wav,tts_3.wav,rms_difference,정확성,0.0049079470336437225
yura_2.wav,tts_3.wav,speech_rate_difference,유창성,4.833468976785213
yura_2.wav,tts_3.wav,pause_difference,유창성,0.0
yura_2.wav,tts_3.wav,word_omission,완전성,0.0
yura_3.wav,tts_3.wav,pitch_contour_similarity,음율적 오류,0.03649437428016172
yura_3.wav,tts_3.wav,rhythm_similarity,음율적 오류,0.0
yura_3.wav,tts_3.wav,pitch_difference,정확성,201.0751953125
yura_3.wav,tts_3.wav,rms_difference,정확성,0.004284612834453583
yura_3.wav,tts_3.wav,speech_rate_difference,유창성,4.717706493078211
yura_3.wav,tts_3.wav,pause_difference,유창성,0.0
yura_3.wav,tts_3.wav,word_omission,완전성,0.0
yura_4.wav,tts_3.wav,pitch_contour_similarity,음율적 오류,0.048951706207382914
yura_4.wav,tts_3.wav,rhythm_similarity,음율적 오류,0.0
yura_4.wav,tts_3.wav,pitch_difference,정확성,420.03466796875
yura_4.wav,tts_3.wav,rms_difference,정확성,0.0032609421759843826
yura_4.wav,tts_3.wav,speech_rate_difference,유창성,4.583577151781505
yura_4.wav,tts_3.wav,pause_difference,유창성,0.0
yura_4.wav,tts_3.wav,word_omission,완전성,0.0
yura_5.wav,tts_3.wav,pitch_contour_similarity,음율적 오류,0.012015954255597252
yura_5.wav,tts_3.wav,rhythm_similarity,음율적 오류,0.0
